cik_str,Scandal Year,Ticker,Company Name,Anomaly Ticker,Detail
50863,2014,INTC,INTEL CORP,INTC,Antitrust Investigations (Loyalty Rebates and Market Exclusion)
51143,2005,IBM,INTERNATIONAL BUSINESS MACHINES CORP,IBM,Bribery Scandal (FCPA Violations in South Korea and China)
77476,2016,PEP,PEPSICO INC,PEP,Bribery Scandal (Third-Party Payments to Government Officials in India)
829224,2018,SBUX,STARBUCKS CORP,SBUX,Racial Bias Incident (Philadelphia Arrests and Company-Wide Training)
40545,2009,GE,GENERAL ELECTRIC CO,GE,Accounting Fraud (Misleading Financial Statements and SEC Settlement)
1065280,2016,NFLX,NETFLIX INC,NFLX,Insider Trading (Subscriber Growth Data Misuse)
1065280,2017,NFLX,NETFLIX INC,NFLX,Insider Trading (Subscriber Growth Data Misuse)
1065280,2018,NFLX,NETFLIX INC,NFLX,Insider Trading (Subscriber Growth Data Misuse)
1065280,2019,NFLX,NETFLIX INC,NFLX,Insider Trading (Subscriber Growth Data Misuse)
2488,2009,AMD,ADVANCED MICRO DEVICES INC,AMD,Antitrust Lawsuit (Settlement and Competitive Practices Agreement)
858877,2013,CSCO,"CISCO SYSTEMS, INC.",CSCO,Whistleblower Case (Cybersecurity Vulnerabilities and False Claims Act Settlement)
1341439,2011,ORCL,ORACLE CORP,ORCL,Bribery Scandal (FCPA Violations and Settlement)
804328,2018,QCOM,QUALCOMM INC/DE,QCOM,Antitrust Lawsuit (Monopolistic Practices and FRAND Licensing Violations)
1065088,2014,EBAY,EBAY INC,EBAY,Data Breach (Compromised User Information and Encrypted Passwords)
1633917,2019,PYPL,"PayPal Holdings, Inc.",PYPL,Consumer Fraud (BNPL Practices and Technical Support Scams)
1512673,2019,SQ,"Block, Inc.",SQ,Data Breach (Unauthorized Access by Former Employee)
1512673,2019,BSQKZ,"Block, Inc.",SQ,Data Breach (Unauthorized Access by Former Employee)
1759509,2019,LYFT,"Lyft, Inc.",LYFT,Labor Practices Investigation (Worker Classification and Wage Settlement)
