Assets,EarningsPerShareBasic,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
0.0,-1.6695527538966266,0.0,0.0,0.0,0
-1.0106162291311631,1.3128121545220481,0.2828542774535132,0.03128984514368903,-0.8829258832780975,0
0.0,-1.1572475488252731,-1.0668345318185903,0.0,0.0,0
-1.259169734153699,0.024820889268879428,-0.7794591955773488,-1.253953752177866,-1.4779832541040485,0
0.0,-1.7559930756014719,-1.1895279445675468,0.0,0.0,0
0.0,-1.7559930756014719,-1.1895279445675468,0.0,0.0,0
-0.675682395852836,1.3128121545220481,1.2042296523154428,0.28722137658950014,0.21825755775502345,0
-0.9531635098348963,1.3128121545220481,0.5593472230692098,-0.2668748710307701,-0.393100779014128,0
-0.9531635098348963,0.0,0.0,-0.2668748710307701,-0.393100779014128,0
0.0,0.0,0.0,0.0,-0.393100779014128,0
0.0,-2.2310862421968904,0.0,0.0,0.0,1
-0.9317021171349615,-1.1572475488252731,-0.10997243606877187,-0.24411101179292335,-0.2087598301263427,0
-1.3183686585172922,-0.2538190260197647,-1.173654793617073,-1.3025106409006204,-1.51337455698033,0
-1.0897459697736676,-0.5892080258695683,-0.6609161596210431,-0.7304876448404656,-0.719551123635653,0
-1.0897459697736676,-0.9423142628061738,-0.6609161596210431,-0.7304876448404656,-0.719551123635653,0
-1.0897459697736676,0.0,0.0,-0.7304876448404656,-0.719551123635653,0
-1.2737434122171711,-1.3292577425473828,-1.045948145596529,-1.1488915542281746,-1.3761564262596873,0
-1.2737434122171711,0.0,0.0,-1.1488915542281746,-1.3761564262596873,0
0.0,0.0,0.0,0.0,0.0,0
0.0,-0.9181367982389668,0.0,0.0,0.0,0
0.0,-1.4007654927953244,-1.1176692517569442,0.0,0.0,0
-1.2420638549470124,-0.44760963445391616,-0.6987272249903763,-1.326616992245681,-1.3514466285143885,0
1.1376076733385267,-1.7814577902749258,0.1632621391818643,0.9590128097674581,1.6939937980543964,0
0.0,-2.2310862421968904,-1.1556755969704136,0.0,0.0,0
1.1376076733385267,-2.2310862421968904,0.2592217354288796,1.0899201265297362,1.3057591006240965,0
0.0,-1.6102132638365305,-1.0610190870587766,0.0,0.0,0
-1.1690999660573727,-0.8551801851619656,-0.7209567207767748,-0.9273913139914365,-0.9774414857779274,0
0.0,-1.6575302179511406,-0.42542194200565603,0.0,0.0,1
0.5263879330431125,-0.9423142628061738,0.8212259496965447,1.5238077502029361,1.0568660956379816,1
0.5263879330431125,-0.9423142628061738,0.8212259496965447,1.5238077502029361,1.0568660956379816,1
1.1376076733385267,-0.06846618483106666,0.9752548866901078,0.6498318697129776,1.5068034407765445,1
0.0,0.0,0.0,0.0,0.0,0
-0.7982440711407337,0.0,-0.961378179427762,-0.6311054826196617,-0.8270685839743395,0
0.0,0.0,-1.2270540082554096,0.0,0.0,0
0.0,-2.2310862421968904,-1.2392484658461664,0.0,0.0,0
-0.8423300831965469,-0.18276806804723625,-0.2775622700636428,-0.596986211562264,-0.5734099014072773,0
-1.3183686585172922,-0.23717656566325068,-1.1501526779469744,-1.3015347323042616,-1.5110546693850158,0
0.0,0.0,0.0,0.0,0.0,0
-1.2273778581337003,0.0,-1.2392484658461664,-1.171176653016446,-1.3148442451094118,0
0.837948921032032,-0.10921079291151294,1.0360419834554624,0.2528272991923487,1.1090971265529068,0
-1.2273778581337003,0.0,-1.2392484658461664,0.0,0.0,0
-1.2273778581337003,0.0,0.0,-1.171176653016446,-1.3148442451094118,0
0.0,-1.564086798658906,-0.6067385007673889,0.0,0.0,0
-0.8315931729698267,-1.564086798658906,-0.6067385007673889,-1.063405605764928,-0.1859776086249495,0
0.0,-1.564086798658906,-0.6067385007673889,0.0,0.0,0
-0.6198340408153452,0.32446300305539466,0.48513874298782933,-0.05944961008797336,-0.17398916368289025,0
