end_date,year,ticker,form,Assets,EarningsPerShareBasic,EarningsPerShareDiluted,LiabilitiesAndStockholdersEquity,NetIncomeLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,anomaly
2009-03-31,2009,GE,10-K,,-0.35408413244628145,-0.35601872839067394,,-0.16497425752925757,,,1
2009-03-31,2009,GE,10-Q,,-0.35408413244628145,-0.35601872839067394,,-0.16497425752925757,,,1
2009-03-31,2009,JPM,10-Q,,-0.33173939552124415,-0.33300520199966255,,-0.23193108989667743,,,1
2009-03-31,2009,L,10-K,,,,,,,,0
2009-03-31,2009,L,10-Q,,,,,-0.5032619253786539,,,0
2009-03-31,2009,LVS,10-K/A,,,,,-0.4436631514819441,,,0
2009-03-31,2009,MDLZ,10-Q,,-0.32375913233373077,-0.3247860854314442,,-0.3760634265641657,,,0
2009-03-31,2009,NFLX,10-Q,,-0.33493150079624945,-0.3379366719405935,,-0.43811887353323514,,,0
2009-03-31,2009,TSN,10-K,,,-0.4513604805820065,,-0.45187645684456834,,,0
2009-03-31,2009,WFC,10-Q,,-0.3062025533212015,-0.3067040289813639,,-0.14395292949258623,,,0
2009-04-25,2009,CSCO,10-K,,-0.3588722903587894,-0.3609501983316049,,-0.30910660392884215,,,0
2009-04-25,2009,CSCO,10-Q,,-0.22161176353356035,-0.21958139335824953,,0.18265622278088156,,,0
2009-04-25,2009,CSCO,8-K,,-0.3588722903587894,-0.3609501983316049,,-0.30910660392884215,,,0
2009-04-26,2009,QCOM,10-Q,,,,,,,,0
2009-04-30,2009,HPQ,10-Q,,-0.042853868133262085,-0.042048475484733554,,0.07531119071337555,,,0
2009-04-30,2009,LVS,10-K,,,,,,,,0
2009-04-30,2009,LVS,10-K/A,,,,,,,,0
2009-04-30,2009,SJM,10-K,-0.4041819285691923,0.1007908692419776,0.1124709159977711,,-0.4144124610969412,,-0.5289233168727383,0
2009-04-30,2009,SJM,10-Q,,,,,,,,0
2009-04-30,2009,SJM,8-K,-0.4041819285691923,0.1007908692419776,0.1124709159977711,,-0.4144124610969412,,-0.5289233168727383,0
2009-04-30,2009,WFC,10-K,,,,,,,,0
2009-05-02,2009,TGT,10-K,,-0.28545386903366693,-0.2853343259039962,,,,,0
2009-05-02,2009,TGT,10-Q,-0.3622021509063133,-0.28545386903366693,-0.2853343259039962,-0.3742556096702917,,-0.3633149771138449,,0
2009-05-03,2009,HD,10-K,,,,,,,,0
2009-05-03,2009,HD,10-Q,,-0.34610386925876807,-0.34944343513609927,,-0.3902722871815454,,,0
2009-05-03,2009,YUM,10-Q,,,,,,,,0
